iter	Logloss
0	0.6426264286
1	0.596117115
2	0.5613501549
3	0.5255135059
4	0.4977526665
5	0.4714323044
6	0.4462403297
7	0.4267034531
8	0.4061742306
9	0.3893739939
10	0.3727176428
11	0.3554821968
12	0.3427126884
13	0.3312711954
14	0.318584013
15	0.3092339993
16	0.2978534698
17	0.2888952732
18	0.279942584
19	0.272059536
20	0.2650784016
21	0.2581105709
22	0.2522063255
23	0.2449563026
24	0.239932251
25	0.2346234083
26	0.2294555664
27	0.2241945744
28	0.2203279495
29	0.2155608654
30	0.2107317686
31	0.2067917109
32	0.2028222322
33	0.1996842504
34	0.1952987909
35	0.1921486259
36	0.1879675984
37	0.1844969034
38	0.1806427956
39	0.1783879757
40	0.1757402182
41	0.1724863768
42	0.169720459
43	0.1671334028
44	0.1644524217
45	0.1622134686
46	0.1598786473
47	0.1573795319
48	0.155240202
49	0.1525981903
50	0.1508630753
51	0.1488518596
52	0.1472306848
53	0.14562397
54	0.1435210705
55	0.1414311171
56	0.1397393346
57	0.1382675648
58	0.1367264271
59	0.1352306843
60	0.1337274551
61	0.1320532322
62	0.130548358
63	0.129194808
64	0.1275714636
65	0.1258812189
66	0.124253273
67	0.12333529
68	0.1218834162
69	0.1203771353
70	0.1191376328
71	0.1176646829
72	0.1167103529
73	0.1153451443
74	0.1137770891
75	0.1126193523
76	0.1114444017
77	0.1101814628
78	0.109191227
79	0.1080134392
80	0.106856966
81	0.1056705832
82	0.1046984196
83	0.1040391922
84	0.1032364011
85	0.1021414757
86	0.1012878656
87	0.09993638992
88	0.09914903045
89	0.09798933268
90	0.09720801711
91	0.09660897851
92	0.0956474185
93	0.09452361465
94	0.09340342283
95	0.09281573296
96	0.09177699685
97	0.09122081995
98	0.0907789588
99	0.08992374539
